Wardcode,WardName,L_AuthCode,L_AuthName
E05009734,Berinsfield,E07000179,South Oxfordshire
E05009735,Chalgrove,E07000179,South Oxfordshire
E05006638,Ducklington,E07000181,West Oxfordshire
E05006639,Eynsham and Cassington,E07000181,West Oxfordshire
E05006640,Freeland and Hanborough,E07000181,West Oxfordshire
E05006642,"Kingham, Rollright and Enstone",E07000181,West Oxfordshire
E05006643,Milton-under-Wychwood,E07000181,West Oxfordshire
E05006644,North Leigh,E07000181,West Oxfordshire
E05006645,"Standlake, Aston and Stanton Harcourt",E07000181,West Oxfordshire
E05006646,Stonesfield and Tackley,E07000181,West Oxfordshire
E05006647,The Bartons,E07000181,West Oxfordshire
E05006648,Witney Central,E07000181,West Oxfordshire
E05006649,Witney East,E07000181,West Oxfordshire
E05006650,Witney North,E07000181,West Oxfordshire
E05006651,Witney South,E07000181,West Oxfordshire
E05006652,Witney West,E07000181,West Oxfordshire
E05006653,Woodstock and Bladon,E07000181,West Oxfordshire
E05009363,Burford,E07000181,West Oxfordshire
E05009364,Brize Norton and Shilton,E07000181,West Oxfordshire
E05009365,Carterton North West,E07000181,West Oxfordshire
E05010781,Chadlington and Churchill,E07000181,West Oxfordshire
E05010782,Charlbury and Finstock,E07000181,West Oxfordshire
E05010783,"Hailey, Minster Lovell and Leafield",E07000181,West Oxfordshire
E05009736,Chinnor,E07000179,South Oxfordshire
E05009740,Didcot West,E07000179,South Oxfordshire
E05009742,Garsington & Horspath,E07000179,South Oxfordshire
E05009743,Goring,E07000179,South Oxfordshire
E05009749,Thame,E07000179,South Oxfordshire
E05009751,Watlington,E07000179,South Oxfordshire
E05011701,Cholsey,E07000179,South Oxfordshire
E05011702,Didcot North East,E07000179,South Oxfordshire
E05011703,Didcot South,E07000179,South Oxfordshire
E05011704,Forest Hill & Holton,E07000179,South Oxfordshire
E05011705,Haseley Brook,E07000179,South Oxfordshire
E05011707,Kidmore End & Whitchurch,E07000179,South Oxfordshire
E05011708,Sandford & the Wittenhams,E07000179,South Oxfordshire
E05011710,Wallingford,E07000179,South Oxfordshire
E05011711,Wheatley,E07000179,South Oxfordshire
E05011712,Woodcote & Rotherfield,E07000179,South Oxfordshire
E05012853,Henley-on-Thames,E07000179,South Oxfordshire
E05012854,Sonning Common,E07000179,South Oxfordshire
E05009754,Abingdon Abbey Northcourt,E07000180,Vale of White Horse
E05009755,Abingdon Caldecott,E07000180,Vale of White Horse
E05009757,Abingdon Fitzharris,E07000180,Vale of White Horse
E05009769,Ridgeway,E07000180,Vale of White Horse
E05009770,Stanford,E07000180,Vale of White Horse
E05009771,Steventon & the Hanneys,E07000180,Vale of White Horse
E05011713,Blewbury & Harwell,E07000180,Vale of White Horse
E05011714,Cumnor,E07000180,Vale of White Horse
E05011715,Drayton,E07000180,Vale of White Horse
E05011717,Sutton Courtenay,E07000180,Vale of White Horse
E05010921,Banbury Cross and Neithrop,E07000177,Cherwell
E05010922,Banbury Grimsbury and Hightown,E07000177,Cherwell
E05010923,Banbury Hardwick,E07000177,Cherwell
E05010924,Banbury Ruscote,E07000177,Cherwell
E05010925,Bicester East,E07000177,Cherwell
E05010926,Bicester North and Caversfield,E07000177,Cherwell
E05010928,Bicester West,E07000177,Cherwell
E05010929,"Cropredy, Sibfords and Wroxton",E07000177,Cherwell
E05010930,Deddington,E07000177,Cherwell
E05010932,Kidlington East,E07000177,Cherwell
E05010933,Kidlington West,E07000177,Cherwell
E05010934,Launton and Otmoor,E07000177,Cherwell
E05011348,"Adderbury, Bloxham and Bodicote",E07000177,Cherwell
E05011349,Banbury Calthorpe and Easington,E07000177,Cherwell
E05012968,Bicester South and Ambrosden,E07000177,Cherwell
E05012969,Fringford and Heyfords,E07000177,Cherwell
E05006545,Barton and Sandhills,E07000178,Oxford
E05006546,Blackbird Leys,E07000178,Oxford
E05006547,Carfax,E07000178,Oxford
E05006548,Churchill,E07000178,Oxford
E05006549,Cowley,E07000178,Oxford
E05006550,Cowley Marsh,E07000178,Oxford
E05006551,Headington,E07000178,Oxford
E05006552,Headington Hill and Northway,E07000178,Oxford
E05006553,Hinksey Park,E07000178,Oxford
E05006554,Holywell,E07000178,Oxford
E05006555,Iffley Fields,E07000178,Oxford
E05006556,Jericho and Osney,E07000178,Oxford
E05006557,Littlemore,E07000178,Oxford
E05006558,Lye Valley,E07000178,Oxford
E05006559,Marston,E07000178,Oxford
E05006560,North,E07000178,Oxford
E05006561,Northfield Brook,E07000178,Oxford
E05006562,Quarry and Risinghurst,E07000178,Oxford
E05006563,Rose Hill and Iffley,E07000178,Oxford
E05006564,St Clement's,E07000178,Oxford
E05006565,St Margaret's,E07000178,Oxford
E05006566,St Mary's,E07000178,Oxford
E05011718,Thames,E07000180,Vale of White Horse
E05006567,Summertown,E07000178,Oxford
E05006568,Wolvercote,E07000178,Oxford
E05009733,Benson & Crowmarsh,E07000179,South Oxfordshire
E05011719,Wootton,E07000180,Vale of White Horse
E05012970,Abingdon Dunmore,E07000180,Vale of White Horse
E05012971,Abingdon Peachcroft,E07000180,Vale of White Horse
E05012972,Botley & Sunningwell,E07000180,Vale of White Horse
E05012973,Faringdon,E07000180,Vale of White Horse
E05012974,Grove North,E07000180,Vale of White Horse
E05012975,Hendreds,E07000180,Vale of White Horse
E05012976,Kennington & Radley,E07000180,Vale of White Horse
E05012977,Marcham,E07000180,Vale of White Horse
E05012978,Wantage & Grove Brook,E07000180,Vale of White Horse
E05012979,Wantage Charlton,E07000180,Vale of White Horse
E05012980,Watchfield & Shrivenham,E07000180,Vale of White Horse
E05012992,Kingston Bagpuize,E07000180,Vale of White Horse
E05006627,Alvescot and Filkins,E07000181,West Oxfordshire
E05006628,Ascott and Shipton,E07000181,West Oxfordshire
E05006629,Bampton and Clanfield,E07000181,West Oxfordshire
E05006632,Carterton North East,E07000181,West Oxfordshire
E05006634,Carterton South,E07000181,West Oxfordshire
E05006637,Chipping Norton,E07000181,West Oxfordshire
